"NOC","Year","Athletes","Sports","Events","Is host","Mean Sex","Mean Sport Participation","Mean Event Participation","Bronze Last Olympics","Silver Last Olympics","Gold Last Olympics","Bronze","Silver","Gold","Total","Rank"
"Jamaica","1972","32","6","27","0","0.627450980392157","1205.76470588235","68.9803921568627","0","1","0","1","0","0","1","43"
"Niger","1972","4","1","4","0","1","354","37.25",NA,NA,NA,"1","0","0","1","43"
"Nigeria","1972","25","2","24","0","0.694444444444444","1464","59.25",NA,NA,NA,"1","0","0","1","43"
"Spain","1972","122","17","59","0","0.944444444444444","711.487654320988","132.783950617284",NA,NA,NA,"1","0","0","1","43"
"Soviet Union","1976","408","22","189","0","0.670731707317073","700.250871080139","65.308362369338","22","27","50","35","41","49","125","1"
"East Germany","1976","267","17","139","0","0.55036855036855","800.889434889435","62.1916461916462","23","23","20","25","25","40","90","2"
"United States","1976","391","19","189","0","0.671480144404332","783.548736462094","56.0559566787004","30","31","33","25","35","34","94","3"
"West Germany","1976","290","20","163","0","0.736725663716814","749.362831858407","64.5619469026549","16","11","13","17","12","10","39","4"
"Japan","1976","213","20","119","0","0.679878048780488","648.899390243902","68.8506097560976","8","8","13","10","6","9","25","5"
"Poland","1976","207","18","116","0","0.891608391608392","637.506993006993","71.4545454545455","9","5","7","13","6","7","26","6"
"Bulgaria","1976","155","14","108","0","0.653543307086614","759.326771653543","57.5275590551181","5","10","6","7","9","6","22","7"
"Cuba","1976","156","14","76","0","0.845360824742268","569.329896907216","81.2268041237113","4","1","3","3","4","6","13","8"
"Romania","1976","157","11","92","0","0.635294117647059","713.596078431373","69.3647058823529","7","6","3","14","9","4","27","9"
"Hungary","1976","177","17","109","0","0.680555555555556","691.510416666667","65.5729166666667","16","13","6","13","5","4","22","10"
"Finland","1976","83","14","63","0","0.898148148148148","703.805555555556","42.5277777777778","4","1","3","0","2","4","6","11"
"Sweden","1976","116","16","90","0","0.803680981595092","635.975460122699","47.3803680981595","6","6","4","0","1","4","5","12"
"Great Britain","1976","242","17","148","0","0.685552407932011","773.294617563739","50.671388101983","9","5","4","5","5","3","13","13"
"Italy","1976","209","20","122","0","0.782051282051282","670.945512820513","65.349358974359","10","3","5","4","7","2","13","14"
"France","1976","206","18","128","0","0.824503311258278","733.009933774834","63.5794701986755","7","4","2","4","3","2","9","15"
"Yugoslavia","1976","88","14","52","0","0.947368421052632","482.126315789474","76.3789473684211","2","1","2","3","3","2","8","16"
"Czechoslovakia","1976","163","16","79","0","0.725099601593626","699.398406374502","77.1115537848606","2","4","2","4","2","2","8","17"
"New Zealand","1976","80","13","52","0","0.806122448979592","644.551020408163","68.3469387755102","1","1","1","1","1","2","4","18"
"South Korea","1976","50","5","27","0","0.764705882352941","259.490196078431","67.4901960784314","0","1","0","4","1","1","6","19"
"Switzerland","1976","50","12","41","0","0.95049504950495","863.960396039604","68.6138613861386","0","3","0","2","1","1","4","20"
"Jamaica","1976","20","3","18","0","0.472222222222222","1135.66666666667","44.25","1","0","0","0","1","1","2","21"
"North Korea","1976","38","8","21","0","0.95","315.3","99.275","3","1","1","0","1","1","2","21"
"Norway","1976","66","11","44","0","0.924050632911392","619.240506329114","57.620253164557","1","1","2","0","1","1","2","21"
"Denmark","1976","66","15","40","0","0.839506172839506","475.20987654321","74.3333333333333","0","0","1","2","0","1","3","24"
"Mexico","1976","96","17","54","0","0.89051094890511","525.306569343066","85.1021897810219","0","1","0","1","0","1","2","25"
"Trinidad and Tobago","1976","13","3","10","0","1","1160.1","57.55",NA,NA,NA,"0","0","1","1","26"
"Canada","1976","385","23","173","1","0.621468926553672","655.774011299435","69.180790960452","3","2","0","6","5","0","11","27"
"Belgium","1976","101","16","80","0","0.644295302013423","753.93288590604","63.2147651006711","0","2","0","3","3","0","6","28"
"Netherlands","1976","108","11","58","0","0.508571428571429","725.565714285714","75.6457142857143","1","1","3","3","2","0","5","29"
"Portugal","1976","19","6","27","0","1","948.166666666667","46.0277777777778",NA,NA,NA,"0","2","0","2","30"
"Spain","1976","113","14","68","0","0.8375","706.875","88.21875","1","0","0","0","2","0","2","30"
"Australia","1976","180","20","115","0","0.740875912408759","715.514598540146","65.2737226277372","2","7","8","4","1","0","5","32"
"Iran","1976","84","9","50","0","0.932692307692308","384.317307692308","79.9134615384615","1","2","0","1","1","0","2","33"
"Mongolia","1976","32","5","29","0","0.939393939393939","272.242424242424","28.0606060606061","0","1","0","0","1","0","1","34"
"Venezuela","1976","32","6","35","0","0.607142857142857","787.321428571429","56.5535714285714",NA,NA,NA,"0","1","0","1","34"
"Brazil","1976","79","12","47","0","0.887640449438202","550.47191011236","82.2808988764045","2","0","0","2","0","0","2","36"
"Austria","1976","60","15","44","0","0.917808219178082","419.561643835616","50.7808219178082","2","1","0","1","0","0","1","37"
"Bermuda","1976","16","3","12","0","0.95","881.9","56.5",NA,NA,NA,"1","0","0","1","37"
"Pakistan","1976","24","5","9","0","1","288.416666666667","123.5","0","1","0","1","0","0","1","37"
"Puerto Rico","1976","80","12","74","0","0.821428571428571","675.598214285714","55.3035714285714",NA,NA,NA,"1","0","0","1","37"
"Thailand","1976","42","11","33","0","0.887096774193548","521.435483870968","61.6774193548387",NA,NA,NA,"1","0","0","1","37"
"Soviet Union","1980","489","23","202","1","0.671212121212121","579.074242424242","56.9606060606061","35","41","49","46","69","80","195","1"
"East Germany","1980","346","17","167","0","0.618181818181818","652.715151515152","54.0181818181818","25","25","40","42","37","47","126","2"
"Bulgaria","1980","270","20","151","0","0.657430730478589","590.501259445844","48.2367758186398","7","9","6","17","16","8","41","3"
"Cuba","1980","203","19","92","0","0.875","448.6875","78.5694444444444","3","4","6","5","7","8","20","4"
"Italy","1980","159","19","88","0","0.719211822660099","498.275862068966","56.679802955665","4","7","2","4","3","8","15","5"
"Hungary","1980","260","21","151","0","0.688775510204082","515.155612244898","52.6734693877551","13","5","4","15","10","7","32","6"
"Romania","1980","226","20","135","0","0.648967551622419","508.498525073746","51.9144542772861","14","9","4","13","6","6","25","7"
"France","1980","121","13","85","0","0.84","680.815","46.165","4","3","2","3","5","6","14","8"
"Great Britain","1980","219","14","145","0","0.664634146341463","696.006097560976","41.3506097560976","5","5","3","9","7","5","21","9"
"Poland","1980","305","21","162","0","0.705741626794258","522.035885167464","53.4377990430622","13","6","7","15","14","3","32","10"
"Sweden","1980","144","18","102","0","0.776119402985075","490.870646766169","48.4427860696517","0","1","4","6","3","3","12","11"
"Finland","1980","105","16","71","0","0.952","490.352","62.84","0","2","4","4","1","3","8","12"
"Czechoslovakia","1980","209","21","114","0","0.747634069400631","540.457413249211","67.6182965299685","4","2","2","9","3","2","14","13"
"Yugoslavia","1980","164","17","69","0","0.844444444444444","369.755555555556","92.5611111111111","3","3","2","4","3","2","9","14"
"Australia","1980","120","17","92","0","0.689473684210526","598.342105263158","53.5578947368421","4","1","0","5","2","2","9","15"
"Denmark","1980","58","13","30","0","0.933333333333333","323.416666666667","71.7833333333333","2","0","1","2","1","2","5","16"
"Brazil","1980","106","14","72","0","0.87248322147651","523.48322147651","62.1275167785235","2","0","0","2","0","2","4","17"
"Ethiopia","1980","41","3","26","0","0.958333333333333","941.666666666667","53.8958333333333",NA,NA,NA,"2","0","2","4","17"
"Switzerland","1980","73","10","45","0","0.895348837209302","503.616279069767","64.3720930232558","2","1","1","0","0","2","2","19"
"Spain","1980","155","18","75","0","0.886255924170616","530.507109004739","82.4407582938389","0","2","0","2","3","1","6","20"
"Austria","1980","83","16","51","0","0.782608695652174","400.663043478261","47.1086956521739","1","0","0","1","2","1","4","21"
"Greece","1980","41","8","31","0","0.888888888888889","472.466666666667","53.1333333333333",NA,NA,NA,"2","0","1","3","22"
"Belgium","1980","59","10","51","0","0.642857142857143","681.440476190476","43.5833333333333","3","3","0","0","0","1","1","23"
"India","1980","71","8","30","0","0.782051282051282","378.141025641026","73.3461538461538",NA,NA,NA,"0","0","1","1","23"
"Zimbabwe","1980","42","10","30","0","0.576923076923077","347.442307692308","53.0961538461538",NA,NA,NA,"0","0","1","1","23"
"North Korea","1980","47","8","40","0","0.685950413223141","695.98347107438","52.8842975206612","0","1","1","2","3","0","5","26"
"Mongolia","1980","43","8","41","0","0.789473684210526","349.456140350877","42.280701754386","0","1","0","2","2","0","4","27"
"Tanzania","1980","41","3","22","0","0.833333333333333","720.729166666667","58.1458333333333",NA,NA,NA,"0","2","0","2","28"
"Mexico","1980","45","12","43","0","0.675675675675676","508.527027027027","31.2837837837838","1","0","1","3","1","0","4","29"
"Netherlands","1980","75","10","56","0","0.741071428571429","541.767857142857","52.4017857142857","3","2","0","2","1","0","3","30"
"Ireland","1980","266","16","151","0","0.701298701298701","664.732467532468","41.1402597402597",NA,NA,NA,"1","1","0","2","31"
"Uganda","1980","13","2","12","0","1","831.8125","46.5625",NA,NA,NA,"0","1","0","1","32"
"Venezuela","1980","37","7","20","0","1","361.186046511628","128.53488372093","0","1","0","0","1","0","1","32"
"Jamaica","1980","18","2","15","0","0.5625","1207.9375","53.125","0","1","1","3","0","0","3","34"
"Guyana","1980","8","3","10","0","0.8","677","33.1",NA,NA,NA,"1","0","0","1","35"
"Lebanon","1980","15","8","16","0","1","501.421052631579","44.8947368421053",NA,NA,NA,"1","0","0","1","35"
"United States","1984","519","25","217","1","0.630591630591631","752.31746031746","64.8210678210678",NA,NA,NA,"30","61","83","174","1"
"Romania","1984","124","13","86","0","0.49740932642487","612.989637305699","51.9274611398964","13","6","6","17","16","20","53","2"
"West Germany","1984","389","25","194","0","0.654991243432574","693.46234676007","68.5569176882662",NA,NA,NA,"23","19","17","59","3"
"China","1984","215","19","105","0","0.619195046439629","655.94427244582","64.2569659442725",NA,NA,NA,"9","8","15","32","4"
"Italy","1984","268","23","151","0","0.793478260869565","760.875","68.1847826086957","4","3","8","12","6","14","32","5"
"Canada","1984","408","23","193","0","0.61013986013986","719.213286713287","65.6538461538462",NA,NA,NA,"16","18","10","44","6"
"Japan","1984","226","22","147","0","0.712328767123288","691.778082191781","62.5945205479452",NA,NA,NA,"14","8","10","32","7"
"New Zealand","1984","130","18","76","0","0.746913580246914","582.524691358025","66.0246913580247",NA,NA,NA,"2","1","8","11","8"
"Yugoslavia","1984","139","16","53","0","0.772727272727273","379.194805194805","99.7012987012987","4","3","2","7","4","7","18","9"
"South Korea","1984","174","19","96","0","0.7125","547.045833333333","68.6125",NA,NA,NA,"7","6","6","19","10"
"Great Britain","1984","337","20","190","0","0.650294695481336","833.408644400786","52.8762278978389","9","7","5","21","11","5","37","11"
"France","1984","238","21","139","0","0.785310734463277","722.079096045198","64.5480225988701","3","5","6","16","7","5","28","12"
"Netherlands","1984","135","15","74","0","0.540540540540541","663.064864864865","72.4702702702703","2","1","0","6","2","5","13","13"
"Australia","1984","242","22","137","0","0.673590504451039","712.813056379822","67.5578635014837","5","2","2","12","8","4","24","14"
"Finland","1984","86","15","76","0","0.841121495327103","686.392523364486","43.9158878504673","4","1","3","6","2","4","12","15"
"Sweden","1984","172","19","138","0","0.728346456692913","719.649606299213","55.4763779527559","6","3","3","6","11","2","19","16"
"Mexico","1984","98","18","87","0","0.735483870967742","711.916129032258","51.3032258064516","3","1","0","1","3","2","6","17"
"Morocco","1984","34","6","18","0","0.971428571428571","450.514285714286","135.657142857143",NA,NA,NA,"0","0","2","2","18"
"Brazil","1984","147","17","82","0","0.847715736040609","682.862944162437","90.7258883248731","2","0","2","2","5","1","8","19"
"Spain","1984","179","23","104","0","0.809338521400778","651.038910505837","78.2140077821012","2","3","1","2","2","1","5","20"
"Belgium","1984","63","14","48","0","0.744186046511628","669.918604651163","49.6860465116279","0","0","1","2","1","1","4","21"
"Austria","1984","102","18","72","0","0.684615384615385","476.415384615385","49.6769230769231","1","2","1","1","1","1","3","22"
"Kenya","1984","61","5","33","0","0.91044776119403","1089.4328358209","87.1940298507463",NA,NA,NA,"2","0","1","3","23"
"Portugal","1984","38","11","32","0","0.770833333333333","869.416666666667","48.6041666666667",NA,NA,NA,"2","0","1","3","23"
"Pakistan","1984","31","5","15","0","1","507.090909090909","117.363636363636",NA,NA,NA,"0","0","1","1","25"
"Switzerland","1984","129","18","91","0","0.718367346938775","750.963265306122","64.9795918367347","0","0","2","4","4","0","8","26"
"Denmark","1984","60","11","33","0","0.824324324324324","509.594594594595","78.2837837837838","2","1","2","3","3","0","6","27"
"Jamaica","1984","45","5","35","0","0.68","1411.14666666667","61.7066666666667","3","0","0","2","1","0","3","28"
"Norway","1984","103","17","76","0","0.795454545454545","579.492424242424","69.3712121212121",NA,NA,NA,"2","1","0","3","28"
"Greece","1984","63","11","49","0","0.917808219178082","584.246575342466","57.6301369863014","2","0","1","1","1","0","2","30"
"Nigeria","1984","32","4","24","0","0.916666666666667","1090.33333333333","48.8055555555556",NA,NA,NA,"1","1","0","2","30"
"Puerto Rico","1984","51","13","45","0","0.827586206896552","866.293103448276","51.5",NA,NA,NA,"1","1","0","2","30"
"Colombia","1984","39","8","34","0","0.9375","683.9375","50.7916666666667",NA,NA,NA,"0","1","0","1","33"
"Egypt","1984","113","15","74","0","0.925675675675676","488.074324324324","81.3851351351351",NA,NA,NA,"0","1","0","1","33"
"Ireland","1984","379","20","190","0","0.648936170212766","838.705673758865","53.1170212765957","1","1","0","0","1","0","1","33"
"Ivory Coast","1984","15","4","14","0","0.944444444444444","986","58",NA,NA,NA,"0","1","0","1","33"
"Peru","1984","35","10","29","0","0.568181818181818","649.5","56.9318181818182",NA,NA,NA,"0","1","0","1","33"
"Syria","1984","9","5","9","0","1","286.444444444444","26.4444444444444",NA,NA,NA,"0","1","0","1","33"
"Thailand","1984","35","5","25","0","0.725","857.275","52.55",NA,NA,NA,"0","1","0","1","33"
"Turkey","1984","46","10","49","0","0.951612903225806","728.387096774194","43.7258064516129",NA,NA,NA,"3","0","0","3","40"
"Venezuela","1984","26","10","29","0","0.977272727272727","916.727272727273","61.5227272727273","0","1","0","3","0","0","3","40"
"Algeria","1984","33","4","17","0","1","660.636363636364","101.636363636364",NA,NA,NA,"2","0","0","2","42"
"Cameroon","1984","46","6","32","0","0.892857142857143","698.214285714286","108.428571428571",NA,NA,NA,"1","0","0","1","43"
"Chinese Taipei","1984","38","12","40","0","0.75","868.057692307692","37.4423076923077",NA,NA,NA,"1","0","0","1","43"
"Dominican Republic","1984","19","7","20","0","0.708333333333333","587.958333333333","33.625",NA,NA,NA,"1","0","0","1","43"
"Iceland","1984","30","5","17","0","0.885714285714286","791.857142857143","99.2",NA,NA,NA,"1","0","0","1","43"
"Zambia","1984","16","3","18","0","1","770.333333333333","44",NA,NA,NA,"1","0","0","1","43"
"Soviet Union","1988","479","27","221","0","0.642967542503864","840.816074188563","76.5085007727975",NA,NA,NA,"46","31","55","132","1"
"East Germany","1988","259","16","157","0","0.579601990049751","1087.87810945274","63.5223880597015",NA,NA,NA,"30","35","37","102","2"
"United States","1988","526","27","230","0","0.602797202797203","937.244755244755","72.4629370629371","30","61","83","27","31","36","94","3"
"South Korea","1988","399","27","218","1","0.638838475499093","738.384754990926","81.940108892922","7","6","6","11","10","12","33","4"
"West Germany","1988","347","24","194","0","0.686046511627907","852.736434108527","74.5271317829457","23","19","17","15","14","11","40","5"
"Hungary","1988","188","20","135","0","0.746031746031746","817.555555555556","67.9777777777778",NA,NA,NA,"6","6","11","23","6"
"Bulgaria","1988","172","16","120","0","0.565836298932384","899.131672597865","63.0818505338078",NA,NA,NA,"13","12","10","35","7"
"Romania","1988","68","10","59","0","0.482558139534884","1017.34302325581","64.1046511627907","17","16","20","6","11","7","24","8"
"France","1988","266","23","167","0","0.704600484261501","957.535108958838","66.0677966101695","16","7","5","6","4","6","16","9"
"Italy","1988","253","23","140","0","0.807486631016043","891.764705882353","80.1363636363636","12","6","14","4","4","6","14","10"
"China","1988","271","25","150","0","0.545667447306792","903.276346604215","75.9789227166276","9","8","15","12","11","5","28","11"
"Great Britain","1988","345","22","191","0","0.61864406779661","1051.40254237288","62.510593220339","21","11","5","9","10","5","24","12"
"Kenya","1988","74","7","50","0","0.931818181818182","1193.625","79.9659090909091","2","0","1","2","2","5","9","13"
"Japan","1988","255","23","166","0","0.677184466019418","848.599514563107","67.8567961165049","14","8","10","7","3","4","14","14"
"Australia","1988","252","24","145","0","0.690265486725664","794.200589970501","85.4778761061947","12","8","4","5","6","3","14","15"
"Yugoslavia","1988","155","18","72","0","0.754098360655738","542.284153005465","104.497267759563","7","4","7","5","4","3","12","16"
"Czechoslovakia","1988","163","17","97","0","0.597345132743363","796.017699115044","69.1902654867257",NA,NA,NA,"2","3","3","8","17"
"New Zealand","1988","83","16","58","0","0.821428571428571","710.919642857143","59.2589285714286","2","1","8","8","2","3","13","18"
"Canada","1988","328","23","193","0","0.640159045725646","955.504970178926","68.5904572564612","16","18","10","5","2","3","10","19"
"Poland","1988","143","19","105","0","0.75","713.927083333333","49.9427083333333",NA,NA,NA,"9","5","2","16","20"
"Norway","1988","69","11","42","0","0.632911392405063","777.936708860759","60.3037974683544","2","1","0","0","3","2","5","21"
"Netherlands","1988","147","17","86","0","0.579207920792079","853.123762376238","79.8613861386139","6","2","5","5","2","2","9","22"
"Denmark","1988","78","15","73","0","0.692307692307692","898.969230769231","56.2230769230769","3","3","0","1","1","2","4","23"
"Brazil","1988","157","21","106","0","0.776824034334764","833.386266094421","86.8369098712446","2","5","1","3","2","1","6","24"
"Finland","1988","78","15","66","0","0.722772277227723","762.80198019802","43.0990099009901","6","2","4","2","1","1","4","25"
"Spain","1988","226","24","130","0","0.794952681388013","801.536277602524","82","2","2","1","2","1","1","4","25"
"Turkey","1988","41","9","40","0","0.843137254901961","630.78431372549","47.9607843137255","3","0","0","0","1","1","2","27"
"Morocco","1988","27","4","25","0","0.862068965517241","1140.93103448276","46.1724137931034","0","0","2","2","0","1","3","28"
"Austria","1988","73","17","62","0","0.90625","777.760416666667","57.2395833333333","1","1","1","0","0","1","1","29"
"Portugal","1988","65","14","59","0","0.835164835164835","1411.08791208791","66.7142857142857","2","0","1","0","0","1","1","29"
"Suriname","1988","6","4","10","0","0.6","1481.7","53.5",NA,NA,NA,"0","0","1","1","29"
"Sweden","1988","182","23","113","0","0.768924302788845","669.191235059761","81.4342629482072","6","11","2","7","4","0","11","32"
"Switzerland","1988","99","17","83","0","0.754966887417219","896.781456953642","58.2715231788079","4","4","0","2","2","0","4","33"
"Jamaica","1988","35","5","22","0","0.612244897959184","1759.0612244898","75.4285714285714","2","1","0","0","2","0","2","34"
"Argentina","1988","118","18","53","0","0.761194029850746","428.059701492537","108.179104477612",NA,NA,NA,"1","1","0","2","35"
"Chile","1988","17","6","14","0","0.956521739130435","741.391304347826","60.6086956521739",NA,NA,NA,"0","1","0","1","36"
"Costa Rica","1988","16","6","18","0","0.393939393939394","1516.48484848485","58.5757575757576",NA,NA,NA,"0","1","0","1","36"
"Indonesia","1988","29","11","32","0","0.767441860465116","916.116279069767","58.2093023255814",NA,NA,NA,"0","1","0","1","36"
"Iran","1988","23","3","21","0","1","542.192307692308","56.6153846153846",NA,NA,NA,"0","1","0","1","36"
"Netherlands Antilles","1988","3","3","4","0","0.75","1037","59.5",NA,NA,NA,"0","1","0","1","36"
"Peru","1988","21","7","15","0","0.423076923076923","652.846153846154","66.1153846153846","0","1","0","0","1","0","1","36"
"Senegal","1988","23","4","23","0","0.971428571428571","1450.2","65.7714285714286",NA,NA,NA,"0","1","0","1","36"
"Virgin Islands","1988","22","6","27","0","0.891304347826087","1441.69565217391","70.3695652173913",NA,NA,NA,"0","1","0","1","36"
"Belgium","1988","59","16","65","0","0.588235294117647","1041.58823529412","53.6823529411765","2","1","1","2","0","0","2","44"
"Mexico","1988","81","17","82","0","0.798611111111111","1011.88194444444","63.3472222222222","1","3","2","2","0","0","2","44"
"Colombia","1988","40","10","34","0","0.736842105263158","1021.05263157895","64.1929824561404","0","1","0","1","0","0","1","46"
"Djibouti","1988","6","2","5","0","1","1780.83333333333","74.6666666666667",NA,NA,NA,"1","0","0","1","46"
"Greece","1988","56","12","43","0","0.736111111111111","783.583333333333","73.4305555555556","1","1","0","1","0","0","1","46"
"Mongolia","1988","28","5","28","0","0.78125","384.90625","39.15625",NA,NA,NA,"1","0","0","1","46"
"Pakistan","1988","30","6","15","0","1","864.272727272727","120.636363636364","0","0","1","1","0","0","1","46"
"Philippines","1988","31","11","40","0","0.833333333333333","930.142857142857","47.9047619047619",NA,NA,NA,"1","0","0","1","46"
"Thailand","1988","14","4","12","0","0.866666666666667","994.133333333333","69.1333333333333","0","1","0","1","0","0","1","46"
"Unified Team","1992","474","27","234","0","0.623076923076923","924.198461538462","70.3323076923077",NA,NA,NA,"29","38","45","112","1"
"United States","1992","540","28","248","0","0.618528610354223","941.273841961853","71.591280653951","27","31","36","37","34","37","108","2"
"Germany","1992","463","26","237","0","0.621745788667688","886.473200612557","69.9923430321593",NA,NA,NA,"28","21","33","82","3"
"China","1992","243","23","144","0","0.479695431472081","865.416243654822","65.3045685279188","12","11","5","16","22","16","54","4"
"Cuba","1992","176","16","90","0","0.709183673469388","683.872448979592","74.5204081632653",NA,NA,NA,"11","6","14","31","5"
"Spain","1992","412","29","195","1","0.670391061452514","741.849162011173","88.1769087523277","2","1","1","2","7","13","22","6"
"South Korea","1992","225","24","134","0","0.708074534161491","603.686335403727","82.1832298136646","11","10","12","12","5","12","29","7"
"Hungary","1992","215","23","156","0","0.683760683760684","842.447293447293","66.7777777777778","6","6","11","7","12","11","30","8"
"France","1992","339","25","196","0","0.660493827160494","881.648148148148","67.1625514403292","6","4","6","16","5","8","29","9"
"Australia","1992","278","25","153","0","0.587179487179487","890.417948717949","84.4641025641026","5","6","3","11","9","7","27","10"
"Canada","1992","295","24","199","0","0.564044943820225","936.260674157303","63.4898876404494","5","2","3","7","4","7","18","11"
"Italy","1992","304","26","169","0","0.751740139211137","825.064965197216","80.7285382830626","4","4","6","8","5","6","19","12"
"Great Britain","1992","371","23","203","0","0.63671875","1005.275390625","65.1953125","9","10","5","12","3","5","20","13"
"Romania","1992","173","18","128","0","0.552287581699346","945.666666666667","66.4509803921569","6","11","7","8","6","4","18","14"
"Czechoslovakia","1992","208","25","121","0","0.66542750929368","726.375464684015","71.449814126394","2","3","3","1","2","4","7","15"
"North Korea","1992","64","12","53","0","0.479674796747967","799.382113821138","64.9105691056911",NA,NA,NA,"5","0","4","9","16"
"Japan","1992","256","24","166","0","0.678571428571429","850.864795918367","69.7372448979592","7","3","4","11","8","3","22","17"
"Bulgaria","1992","136","19","116","0","0.61864406779661","940.622881355932","57.4576271186441","13","12","10","6","7","3","16","18"
"Poland","1992","201","21","136","0","0.726235741444867","724.174904942966","63.3536121673004","9","5","2","10","6","3","19","19"
"Netherlands","1992","201","20","105","0","0.525291828793774","626.346303501945","79.4357976653696","5","2","2","7","6","2","15","20"
"Kenya","1992","49","5","29","0","0.836363636363636","1695.21818181818","55.7272727272727","2","2","5","2","4","2","8","21"
"Norway","1992","83","17","64","0","0.631578947368421","811.184210526316","66.2719298245614","0","3","2","1","4","2","7","22"
"Turkey","1992","41","10","43","0","0.851851851851852","637.518518518518","39.2222222222222","0","1","1","2","2","2","6","23"
"Indonesia","1992","42","10","31","0","0.588235294117647","320.725490196078","50.9607843137255","0","1","0","1","2","2","5","24"
"Brazil","1992","181","23","107","0","0.742489270386266","752.416309012876","80.7296137339056","3","2","1","0","1","2","3","25"
"Greece","1992","70","17","53","0","0.789473684210526","629.407894736842","59.9342105263158","1","0","0","0","0","2","2","26"
"Sweden","1992","186","22","121","0","0.73015873015873","711.388888888889","77.8015873015873","7","4","0","4","7","1","12","27"
"New Zealand","1992","134","17","87","0","0.725714285714286","757.48","77.0114285714286","8","2","3","5","4","1","10","28"
"Finland","1992","87","16","85","0","0.692307692307692","1152.53076923077","48.9","2","1","1","2","2","1","5","29"
"Denmark","1992","109","14","67","0","0.625","700.194444444444","82.5763888888889","1","1","2","4","1","1","6","30"
"Morocco","1992","44","7","24","0","0.977777777777778","843.022222222222","129.222222222222","2","0","1","1","1","1","3","31"
"Ireland","1992","429","23","205","0","0.65874363327674","998.641765704584","64.7640067911715",NA,NA,NA,"0","1","1","2","32"
"Ethiopia","1992","20","2","11","0","0.75","1620","81.75",NA,NA,NA,"2","0","1","3","33"
"Algeria","1992","35","7","27","0","0.944444444444444","812.305555555556","68.3888888888889",NA,NA,NA,"1","0","1","2","34"
"Estonia","1992","37","13","35","0","0.869565217391304","944.304347826087","55.2173913043478",NA,NA,NA,"1","0","1","2","34"
"Lithuania","1992","47","11","31","0","0.777777777777778","728.037037037037","66.3518518518518",NA,NA,NA,"1","0","1","2","34"
"Switzerland","1992","102","17","80","0","0.748538011695906","877.877192982456","64.6081871345029","2","2","0","0","0","1","1","37"
"Jamaica","1992","36","5","23","0","0.529411764705882","1771.25490196078","63.4705882352941","0","2","0","1","3","0","4","38"
"Nigeria","1992","55","8","34","0","0.583333333333333","960.347222222222","70.6111111111111",NA,NA,NA,"1","3","0","4","38"
"Latvia","1992","34","13","31","0","0.725","722.65","49.4",NA,NA,NA,"1","2","0","3","40"
"Austria","1992","102","17","68","0","0.692913385826772","722.677165354331","62.488188976378","0","0","1","0","2","0","2","41"
"Namibia","1992","6","3","9","0","0.7","1662.7","67",NA,NA,NA,"0","2","0","2","41"
"South Africa","1992","93","19","87","0","0.680851063829787","940.517730496454","62.3191489361702",NA,NA,NA,"0","2","0","2","41"
"Belgium","1992","68","18","70","0","0.621359223300971","883.077669902913","57.7766990291262","2","0","0","2","1","0","3","44"
"Croatia","1992","39","11","23","0","0.869565217391304","491.913043478261","71.304347826087",NA,NA,NA,"2","1","0","3","44"
"Iran","1992","36","6","36","0","1","526.590909090909","48.4318181818182","0","1","0","2","1","0","3","44"
"Israel","1992","30","10","42","0","0.795454545454545","973.454545454545","51.1590909090909",NA,NA,NA,"1","1","0","2","48"
"Chinese Taipei","1992","31","7","15","0","0.684210526315789","403.789473684211","107.763157894737",NA,NA,NA,"0","1","0","1","49"
"Mexico","1992","102","18","71","0","0.728571428571429","856.192857142857","83.5642857142857","2","0","0","0","1","0","1","49"
"Peru","1992","16","9","18","0","0.714285714285714","800.619047619048","52.7619047619048","0","1","0","0","1","0","1","49"
"Mongolia","1992","33","8","31","0","0.789473684210526","472.368421052632","52.3157894736842","1","0","0","2","0","0","2","52"
"Slovenia","1992","35","12","34","0","0.851063829787234","956.723404255319","58.2127659574468",NA,NA,NA,"2","0","0","2","52"
"Argentina","1992","84","17","68","0","0.738738738738739","665.27027027027","75.7837837837838","1","1","0","1","0","0","1","54"
"Bahamas","1992","14","4","13","0","0.833333333333333","1476.55555555556","54.2222222222222",NA,NA,NA,"1","0","0","1","54"
"Colombia","1992","49","11","31","0","0.950819672131147","629.114754098361","125.245901639344","1","0","0","1","0","0","1","54"
"Ghana","1992","34","4","13","0","0.902439024390244","840.926829268293","167.463414634146",NA,NA,NA,"1","0","0","1","54"
"Malaysia","1992","26","6","11","0","1","518.033333333333","127.566666666667",NA,NA,NA,"1","0","0","1","54"
"Pakistan","1992","27","5","12","0","1","638.964285714286","128.928571428571","1","0","0","1","0","0","1","54"
"Philippines","1992","26","9","29","0","0.868421052631579","1089.07894736842","61.9210526315789","1","0","0","1","0","0","1","54"
"Puerto Rico","1992","69","12","57","0","0.910891089108911","854.049504950495","86.9108910891089",NA,NA,NA,"1","0","0","1","54"
"Qatar","1992","28","2","11","0","1","1044.2","184.033333333333",NA,NA,NA,"1","0","0","1","54"
"Suriname","1992","6","3","7","0","0.777777777777778","1644.77777777778","72.7777777777778","0","0","1","1","0","0","1","54"
"Thailand","1992","46","9","47","0","0.453125","1329.265625","53.296875","1","0","0","1","0","0","1","54"
"United States","1996","647","31","263","1","0.569725864123957","947.141835518474","80.7949940405244","37","34","37","25","32","44","101","1"
